Username,Tanggal,Rating,Isi Review,Label Sentimen
adi kurniawan,25 Mei 2025,5,"saya update lagi ya!! ini pertama kali nyoba bayar pajak online.. Alhamdulillah sampe pembayaran di Indomaret lancar jaya!!! proses sudah sampe pengiriman. tinggal nunggu pengiriman jasa kirim. terimakasih buat semua pihak yg terkait, ini sangat membantu buat kami yang ada di luar kota🙏 STNK sudah sampe di hari Sabtu, saya transaksi hari Jum'at!! gak nyangka bisa se gercep itu!! terimakasih banyak aplikasi SIGNAL🙏🙏 tahun depan mau lewat aplikasi aja",
Elzaldi Nadewirsal,11 Juli 2025,3,"membantu mempermudah pengurusan, pengiriman cepat, cuma sayang berkas yang diterima sedikit sobek",
ayu riski wulandari,10 Juni 2025,4,"pilihan pembayaran masi rancu. harusnya dr awal ada pilihan pembayaran mau pake bank apa atau dompet digital apa. jd ga bingung, ini kode bayar ternyata ga bisa di pake di bbrapa bank. tp over all sangat membantu jiwa2 yg malas kelua",
indah oey,2025-04-22 00:00:00,2,"ini aplikasi proses peningkatan lama banget dah, padahal bisa membantu banget buat orang orang yang mau perpanjang stnk diluar domisili dan untuk informasi di google yang menyatakan bisa memperpanjang stnk luar domisili di samsat terdekat tempat bekerja itu tidak bisa ya.",
Mr “Caca” Caca,10 Juni 2025,5,"mantap nih saya sudah coba berhasil sangat membantu, alangkah lebih baik pajak 5tahunan sistem nya seperti ini mempermudah masyarakat dan bisa semakin antusias untuk taat bayar pajak namun kadang hologram stempelnya kadang ada kadang gak ada",
Diana Novia,5 Juni 2025,5,"Terimakasih Signal, bayar pajak lebih mudah saya tidak perlu pulkam dulu, jadi tidak perlu antri dan panas-panasan ke samsat, pengiriman cepat dari samsat majalengka ke jakarta barat 1 hari sudah sampai, pertahankan kerja bagus nya",
Ihza Gaming,2025-04-13 00:00:00,1,"aplikasi bermasalah terus, mau bayar pajak tpi ga bisa karena gagal terus pendaftaran pengesahan stnk. pdhl sdh di instal ulang dan data lengkap karena sebelumnya pernah dan berhasil, tpi sekarang malah ga bisa sama sekali",
Riyodi saputra,11 Juli 2025,5,Bayar pajak jdi gak ribet hrus ke kantor ny dan kalau mw bayar pajak dri luar kota juga bsa dikirim smpai lokasi.,
Kelik purwanto,12 Juli 2025,5,"sangat membantu sekali,simpel dan proses cepat dalam pengiriman ke alamat penerima.",
Junaidin,11 Juli 2025,5,"mau bayar pajak tapi malas keluar, lewat signal aja, mudah banget, cepat datang nya",
Sugie Chocolatoz,10 Juli 2025,5,amat sangat membantu. .. skalian balik nama atau perpanjang 5 tahunan nya di buat online. pasti bnyk yg byr pajak,
Bilal Mauludan,12 Juli 2025,1,"saya daftar mau bayar pajak, karena ngga ada waktu untuk datang ke kantor. malah tidak bisa daftar",
Dedi Sulaiman,12 Juli 2025,5,"Terimaksih banyak. Sangat membantu. Transaksi cepat, proses cepat. STNK sukses smpai di tujuan.",
Toni Saputrra,10 Juli 2025,5,"Pertama kali nyoba urus STNK ternyata lebih mudah dan cepat, dan 3 hari udah sampe mantap poko namah",
Harlequeen ,13 Juli 2025,1,"aplikasi nya ngga bisa di pake,, mau daftarin STNK buat bayar pajak notif nya gagal Mulu gimana sih",
Fatih,2025-04-07 00:00:00,5,Terimakasih aplikasi Signal sudah mempermudah pembayaran pajak kendaraan dengan waktu yang tak terbatas dan prosesnya juga cepat... pertahankan yaaa. semoga kedepannya semakin meningkat terus. bravoo samsaattt digital,
Linang Purbojati,11 Juli 2025,5,Mempermudah karena tanpa harus datang ke Samsat. Terutama bagi para perantau luar kota luar provinsi,
widadi gemilang,12 Juli 2025,5,"Signal memang top, mohon untuk memberi keleluasan layanan, misalnya melayani perpanjangan pajak tahunan kendaraan bermotor atas nama orang lain KK orang lain, Terima kasih",
Zyzye Mela,13 Juni 2025,5,bagus bgt adanya aplikasi ini bisa di antar sampai rumah juga untuk ibu rumah tangga yang punya anak ga perlu antri dan prgi jauh ke samsat membantu bgt siih aplikasi ini... estimasi pengiriman 3 hari.. sdh pasti sampai rumah... maju trus samsat utk inovasi2 lainnya.,
Arman Syah,13 Juli 2025,5,"sangat membantu, tapi mahon untuk status pengriman selalu di updte. terima kasih",
Dwi Sutrisno,10 Juli 2025,5,"mendaftar dengan mudah, proses pembayaran mudah, proses pengiriman ke rumah via pos, aman dan praktis",
Clow Goblin,11 Juli 2025,3,buruk sekali masak saya disuruh kedukcapil ngurus ktp padahal ktp aktif dan terverifikasi.gk bsa daftar untuk cek pajak aja dipersulit,
Fika Hikayah,14 Juli 2025,5,paket surat datang dengan aman dan lengkap. membantu sekali jarak jauh dan sibuk pekerjan lain.,
Wasri sajolah,10 Juli 2025,5,aplikasi memang sangat membantu. cepat respon.usahain menyambung yang 5 tahun. bisa melalui aplikasi,
Harry Nugroho,11 Juli 2025,5,aplikasinya mudah dimengerti dan mempermudah untuk bayar pajak kendaraan,
J N Bastian,14 Juli 2025,5,"mantab, sangat membantu sekali adanya aplikasi signal ini.mudah digunakan",
Ferdy Najjar,14 Juli 2025,4,sebaiknya adakan pembayaran melakukan barcode QRIS apa saja agar lebih mudah lagi,
Muhammad Haris Setiawan,12 Juli 2025,4,bayar pajak kendaraan luar daerah sudah semakin mudah dengan aplikasi signal ini,
Ibnu Fauzi,12 Juli 2025,5,mempermudah pembayaran pajak tidak perlu ke samsat,
Zain Rizal,10 Juli 2025,5,"Alhamdulillah pembayaran pajak kendaraan dapat dilakukan dengan mudah,",
Tri purwanto,20 Mei 2025,1,"min mimin,,tolong lah bug nya di benerin..masa kendaraan sudah validasi dll.kok mau bayar pajak pengesahan tidak berhasil...HARUS ke Samsat terdekat...lalu apa fungsi validasi ktp,email dan semacam nya??",
H_ Marpaung,5 Juni 2025,5,tahun2 yg lalu coba pake apps ini tp sering error tp di thn 2025 ini coba lagi trnyata bisa.. prosesnya berjalan lancar dan sangat membantu krna gak perlu repot2 lagi ke Samsat.. keren sih..,
anto begog,26 Maret 2025,4,"kalo baru pertama pake aplikasi ini pasti bingung cara bayar pengesahan TNKB nya,perlu ditingkatkan dipersimpel cara pembayarannya ,no transaksi pembayaran harus bisa dilihat berulang dan bisa di copy berulang supaya memudahkan pembayaran",
Budi Oke,2025-04-08 00:00:00,4,"saya pengguna SIGNAL sudah lama, namun beberapa bulan ini aplikasi SIGNAL TIdak dapat di gunakan selalu ada keterangan TIDAK DAPAT DI PROSES. mohon untuk di perbaiki untuk aplikasi nya.krna dgn adanya Aplikasi SIGNAL benar benar membantu.",
fitri samsung,23 Maret 2025,2,payah ..tahun lalu gampang ....CPT..tapi tahun ini mau coba aplikasi pas pengesahan itu cuma muncul barcode...tapi tidak di arahkan selanjutnya untuk pembayaran .jadi kayak ngantung,
Gusti Regina Rahmawati,2025-04-16 00:00:00,1,"tambahkan kendaraan bermotor, pas udah di tambahin, malah ga bisa,malah kenadaran sudah terdaftar, kapan daftarnya ???? tiba tiba udah terdaftr, terus mau buka pengesahan stnk malah harus lengkapin nomor kendaraan motor, hadehhhh",
shansans,2025-04-08 00:00:00,5,"lagi proses, dari awal sampai tahap selesai tapi belum sampai nerima fisik stnk, sejauh ini baik, mudah. namun ada catatan, ketika pilih opsi pengiriman, pada saat di awal hanya berapa, namun pas pembayaran, jadi 2x lipat",
adi oyong,2025-04-08 00:00:00,1,aplikasinya ok lah tapi banyak fitur yg tidak ada kayak perkiraan pajak kendaraan itu berapa apakah udah bayar atau belum dengan cara hanya memasukan no polisi dari kendaraan jadi kalau ada yg mau bayar pajak kan ada kepastian besaranya berapa dan ditailnya apa aja baik itu pajak tahunan atau 5 tahunan jadi ouner nya tahu dan ini akan mengurangi juga kkn dikantor pajak... tolong dilenkapi lagi kalau tidak percuma dah apk ini.dibuat dikasih bintang 3 aja dulu,
Rakun 27,2025-04-02 00:00:00,1,"Aplikasi ga guna. mau bayar malah di persulit, dapet kode malah ga bisa di buat bayar di semua media pembayaran. buat apa bikin aplikasi. mau nya bayar offline aja biar ga ke deteksi kalo mau di main mainin gitu?? ga bayar pajak di tilang mau bayar di persulit mau nya apa sih lu pada",
nurama shumah,2025-04-14 00:00:00,4,"Lebih muda, tidak usah antri. Hanya saja untuk admin di samsat harus setiap saat ngecek aplikasi, biar segera cepat cetak & kirim dokumen, tidak usah menunggu chat pengaduan baru dicetak & kirim",
Hanan Dzaki,3 Juli 2025,5,"Alhamdulillah berjalan lancar, tidak seperti yg lainnya. Mulai daftar dan bayar waktu pagi (subuh), lancar tanpa kendala. Hanya minus proses d jasa kirimnya,,, lumayan 3harian fisik pajak baru sampai",
Rizki Fauzi,26 Juni 2025,4,"minus dalam pengiriman nya sahaja kurang lebih hampir 2minggu baru ada,itupun pengirimnya tidak konfirmasi atau menghubungi bahwa tbpkp sudah di antar ke lokasi dalam bentuk chat atau bukti foto. selebihnya Cukup terus berkembang kedepannya buat tim signal ",
Riza Arizona,22 Juni 2025,1,"aplikasi sangat tidak membantuu, susah buat daftar, semua data tidak valid, selalu kembali, selalu tidak bisa, cuma mau cek total suusahh nya minta ampunnn karna mau daftar saja tidak bisa!!",
mans syafri,20 Juni 2025,5,"sekarang sudah cepat respon transaksi pembayaran.,.langsung diproses..cuma nunggu 4 hari dokumen sudah sanoe di rumah saya..Over all..sudah memudahkan kita dalam pembayaran pajak kendaraan dan terhindar dari pungli oknum oknum yang memanfaatkan ketidak tahuan masyarakat awam, Terimakasih tim SIGNAL. Mantap betul",
Sigit Harmoko,20 Juni 2025,2,"Saya mau bayar pajak tahunan dan kirim stnk ke alamat, ketika mau bayar lewat Brimo tapi tidak ada pilihan untuk wilayah Lampung.. Kenapa ya?? Dan kritik aplikasi kurang sat set dan kayak setengah2 pemerintah buat aplikasi ini",
terry,4 Juli 2025,2,tolong dunk di perbaiki ini aplikasi .. jelek banget koneksi bermasalah mulu. pdhal wifi jalan. tolong dunk di perbaiki aplikasi nya.,
Ina Yudith,9 Juli 2025,5,"kereeen, baru pertama kali coba aplikasi signal buat perpanjang STNK motor caranya sangat mudah, tinggal input data motor kita, trus pilih layanan STNK tinggal bayar via transfer udah termasuk ongkir kerumah kita. tinggal nunggu aja dirumah (gak pake capek ngantri) hari ini sudah sampai STNK... terimakasih",
Joko Muntanto,20 Juni 2025,4,"sudah bisa kirim ke alamat rumah/kantor, tp proses pengirimannya dari samsat lama ( status update 2 minggu masih pracolecting terus) pas sudah dikirim di espedisi POS juga lama. tp mending ini drpd antri di samsat. makasih SIGNAL semoga kedepannya makin baik.",
Krisno Sanjoyo gandring,25 Juni 2025,1,"tak kira signal bisa byr pajak kendaraan yg masih atas nama org lain,.udah daftar,udah minta ktp org yg atas nama kendaraan,ee ternyata pajak kendaraan melalui signal hy bisa kendaraan atas nama sendiri dan hy bisa yg satu kk,.met",
Muhamad Jutana,2 Juli 2025,4,"Alhamdulillah sekarang bayar pajak lebih mudah tinggal pake aplikasi signal. Kalau boleh ngasih saran buat yg taat pajak, sesekali kasih diskon gratis ongkir untuk pengiriman dokumen fisiknya",
Kura Yui,4 Juli 2025,5,"Sangat membantu sekali buat orang yang gampang nervous kalau ketemu banyak orang. Urus dari rumah, tinggal tunggu Pak Pos di rumah. Walau sempet bingung di awal instal, pemakaian aplikasi ini cukup mudah. Sayangnya pas mau bayar via ShopeePay gagal terus. Entah masalahnya di mana. Tapi transfer bank lancar jaya.",
Benny Gunawan,18 Juni 2025,4,"semoga kedepannya dpt sticker hologram buat ditempel dilembar validasi stnk, biar gak perlu dateng ke samsat hanya utk sekedar validasi lagi, kan udah e-samsat masa iya msh harus validasi manual, jd rasanya seperti percuma aja byr via e-samsat / signal, cukup sekian & terimakasih.",
Yusup Supriatna chanell,20 Juni 2025,5,"terimakasih dengan adanya sistem online jadi mempermudah masyarakat untuk membayar pajak,cuma harus sabar menunggu hasil pisiknya sekitar sebulan baru smpe rumah tp gpp yg penting sudah terkonfirmasi bahwa kendaraan tersebut sudah membayar pajak",
mayy di,18 Juni 2025,4,"dimudahkan dengan aplikasi signal ini, klo bisa mah yg 5tahun jg bisa secara online, dan untuk plat nya bisa diambil di samsat domisili terdekat, ini untuk kita yg stnk n domisilinya jauh..",
Eman Sulaeman,30 Juni 2025,1,"perpanjangan pajak online di signal memang bisa, tapi tidak memuaskan. masa pengurusan perpanjangan pajak tahunan sampai 1 bulan belum sampai2 ke rumah. pelayanan sangat buruk. ehh maaf...emang betul kenyataannya. ",
Azura Rose,3 Juli 2025,3,"Saya selalu tepat waktu bayar pajak, karena ini hari terakhir masa Stnk saya, jadi saya bayar pake apk ini. Bukannya turun biaya STNK motor butut saya, tapi pake aplikasi ini malah ada tambahan biaya 20ribu. Orang mau bayar pajak aja masih dipalak.",
Udin Boy,29 Juni 2025,1,"mau daftar kedaraan gak bisa, mungkin karna beli motor second gak sesuai ktp, padahal niatnya mau bayar pajak tapi dipersulit.",
Kafato Kumara,2025-04-18 00:00:00,3,"transaksi pembayaran pajak sudah di bayar dan sudah tertera foto STNK-nya yang baru ... tapi kok STNK nya belum di kirim kirim lewat pos , tolong di perbaiki aplikasinya",
Jejen Jenal Mutaqin,31 Mei 2025,5,"sangat membatu sekali aplikasi signal ini mempermudah pembayaran pajak kendaraan, pengiriman STNK Pajak aslinya belum sampai, mungkin masih dalam proses",
Abdullah Solihin,2025-04-21 00:00:00,5,"aplikasi signal mudah digunakan dan sangat membantu. Tapi untuk pembayaran menggunakan gopay masih belum bisa berfungsi, mohon ditingkatkan kembali.",
Ari Muhammad Rasad,2025-04-27 00:00:00,1,"seperti aplikasi resmi pemerintah pada umumnya pasti selalu banyak bug nya, mau tambah data kendaraan aja selalu gagal wkwkwk emang rata rata aplikasi buatan pemerintah atau bumn itu selalu bermasalah heran gua juga wkw",
Salma Humairaa,2025-04-21 00:00:00,5,mantap saya sudah coba aplikasi perpanjang stnk tahunan lancar aman yg penting saat bikin akun nunggu proses nik di validasi kira kira 3 hari kemudian baru coba transaksi perpanjang online,
Zaky Akatsuki,13 Juni 2025,5,"Gampang dan mudah penggunaannya,tinggal tunggu di rumah saja...hanya tidak dapat stiker untuk pengesahannya,harus print barcode sendiri mantap",
Qiqi Alhaq,1 Mei 2025,5,Mantap lah mempermudah pembayaran pajak tidak harus ke samsat.. ya walaupun lama estimasi 14 hari tapi oke lah tetap dikirim dan diterima di rumah... Terimakasih,
Hardi Ilyas,24 Mei 2025,5,untuk pembayaran pajak online ini sangat membantu yg sibuk kerja dan tidak sempat membayar pajak ke samsat..dengan aplikasi pembayaran pajak kendaraan online ini..smua jadi mudah,
Yuda Oktavianto,24 Mei 2025,1,"sistem eror mulu si? mau bayar pajak loh ini ngebantu pendapatan negara ko dipersulit si? kalo gak bisa bikin aplikasi yg bagus gausah bikin, malah mempersulit masyarakat. tolong diperbaiki",
robi setiadi,17 Mei 2025,3,"APK nya lemot, pas udah bayar gk bisa buka riwayat transaksi sama sekali, padahal sinyal bagus, perbaiki lagi lah pake dana maintenence nya buat update ni app",
A_Pribadys,29 Mei 2025,5,"Sangat mempermudah masyarakat saat membayar pajak kendaraannya, yang memiliki kesibukan kerja ataupun usaha yang tidak bisa di tinggalkan. Sekarang bisa Online dan berkas bisa di antar langsung ke rumah pemilik kendaraan.",
Anis Try Hardiyanti,2025-04-26 00:00:00,5,"sangat membantu ketika pas tanggal terakhir pembayaran disaat hari libur atau cuti bersama,jadi kita tdk sampai kena denda.walau pengiriman agak lama,tapi tetap sampai....terimakasih sudah membantu ",
new scudz,9 Juni 2025,4,pengiriman agak lama.. tapi terima kasih sudah mempermudah kami.. lain kali semoga bisa cetak sendiri di fotocopy terdekat..hehehe,
Al badrawi,2025-04-26 00:00:00,5,semoga kedepanya lebih baik lagi pelayanan onlinenya...kalau bs tdk lagi ada denda apapun buat pajak kendaraan dan tdk lagi ada progresif kendaraan,
Ego Gautama,20 Mei 2025,4,"pelayanan sudah oke, cuman permasalahannya ada pengiriman, sangatsangat lama, mudah2an bisa di evaluasi dan bekerjasama dengan jasa pengiriman yang lebih bagus, daripada yang ini..",
Pow,21 Mei 2025,4,"aplikasi yg sangat membantu masyarakat yg wajib pajak tahunan. tapi masih ada yg kurang klo ganti plat ga bisa lewat aplikasi, harus dateng ke samsat.",
Choirun Nisya,8 Mei 2025,5,kebetulan saya lupa harus bayar pajak tahunan motor. karena sudah mepet dan repot akhirnya pakai SIGNAL. Dan Alhamdulillah mudah untuk pemula yg baru bayar pajak online.,
satrio andini,10 Mei 2025,5,"alhamdulillah sangat membantu sekali untuk saya membayar pajak gak ribet harus datang ke samsat,tinggal lewat hap semua sudah selesai dan tidak menunggu waktu lama kurang lebih seminggu sudah diantar sampai dirumah",
Fajar Agus Wijaya,13 Juli 2025,5,"membantu tapi kebanyakan biaya, seharusnya bayar 362.000 jadi selisih 20rb dan kebanyakan admin ini ono",
ucok black,3 Mei 2025,1,"tinggal melakukan pembayaran,sudah 2 kali ini.loadingnya lama ( sudah loading lama gak bisa masuk pula ) tolong apk segera di perbaiki,biar memudahkan masyarakat 🙏🙏 trimakasih",
Hery Susilo,16 Mei 2025,5,"mantap, proses dari daftar sampai kirim cuma 3 hari. walau yg pertama sempat error di pembayaran, pas coba daftar ulang dan berhasil..",
Rangga,2025-04-27 00:00:00,1,"saya tida Faham dengan apk ini, saya veriv mau login tidak bisa, apa maksudnya ? disuruh ke dukcapil kalo saya gabisa login ya berati saya gabisa login apk lain, buktinya bisa di apk lain, perlu banyak perbaikan menurut saya",
Eko Purnomo,2025-04-28 00:00:00,1,"Perlu ektra sabar menunggu tagihan keluar, 2 minggu dari tgl jatuh tempo baru keluar, proses kiriman fisik yg baru cepat tergantung kota asal.",
oktober nando,23 Juni 2025,1,"aplikasi sampah, buang buang anggaran. tiap mau bayar ada aja kendala, udh coba bayar pkai m.banking gk bisa, bayar ke indomaret gk bisa jg.",
Jonathan Visser,5 Juni 2025,5,Perpanjang STNK kedua kalinya melalui aplikasi ini..Overall 2x perpanjang 2x selalu lancar ga ad masalah..Semoga bs lancar terus..,
Aisyah Putri,6 Mei 2025,2,"lambat jadinya, biasanya kalo bayar pajak STNK langsung jadi ini mah harus nunggu 1 bulan dulu baru dikirim STNK nya, itupun harus d email dulu baru d proses",
mas doni,1 Mei 2025,5,sangat membantu jadi tidak usah antri kesamsat Lagi mudah2an kedepannya untuk perpanjang 5 tahunan bisa lewat online juga biar enak ga usah antri lagi disamsat,
Drakor Favorit,4 Juli 2025,1,sulit verifikasi wajah dan ktp. koneksi sering loss. gila. kebanyakan dikorupsi duitnya. gak ada maintenance dan gak sanggup bayar IT yang mumpuni.,
boim ganesha,17 Mei 2025,5,"sangat membantu,,sudah lama ditunggu aplikasi seperti ini akhirnya hadir juga..sudah dicoba bayar pajak tahunan,lancar dan STNK baru dikirim ke alamat yg kita mau gak mesti ke alamat KTP",
Danto 13,13 Mei 2025,2,Dengan adanya aplikasi signal cukup membantu dan mempermudah masyarakat ga perlu antri tapi ko sya mau nambahin kendaraan sendiri knpa ga bisa ya padahal nomor yg sya masukin bener,
titin supriatin,14 Mei 2025,5,simpel praktis tepat sasaran dan bermanfaat banget..memudahkan buat org yg sibuk yg gak sempat ke samsat langsung buat bayar pajak kendaraan,
suryatna,15 Mei 2025,5,sangat membantu... tidak perlu datang ke kantor Samsat untuk antri... hanya dgn HP urusan bayar pajak bisa di bayar dgn mudah.. terima kasih Signal dan pos Indonesia,
Jambe Jorlang,4 Juni 2025,4,"Kenapa bayar pajak di samsat ada blanko Asuransi Jasaraharja, sementara lewat aplikasi jasa raharja/ Blanko kartu nya tdk disertakan? padahal bayar nya sama. bahkan lebih mahal krn B.Admin plus ongkir.",
wahendra top,6 Mei 2025,5,jd gk ribet dengan adanya aplikasi ini..transaksi sangat mudah..sangat membantu proses cepat..pengiriman dokumen juga jg cepat,
M Kafi,2025-04-11 00:00:00,4,"Appnya responsip, ui/ux nya buruk di bagian pengesahan STNK kalo bisa teksnya jangan sampe nyerobot icon, pengiriman lama bngt bisa sampe 4-7 hari jam kerja.",
Kadek Eli,2025-04-11 00:00:00,5,"app bagus. cuma kalau bisa, upayakan untuk bisa bayar pajak kendaraan tanpa harus ktp pribadi, atau pemilik pihak kedua. kurir kantor pos kurang ajar, main nitip nitip dokumen tanpa ada pemberitahuan sebelumnya. terimakasih",
Bima Satria pratama,2025-04-03 00:00:00,1,"percuma bikin aplikasi klo tetep konfirmasi nih ke samsat langsung, pembuatan aplikasi itu tujuannya untuk mempermudah pengguna dalam melakukan kegiatan transaksi secara digital, jadi kenapa harus validasi lagi ke samsat. database pengguna setelah pembelian motor gimana?",
Sugoichazha HZ,21 Maret 2025,5,"simple dan mudah digunakan, jadi hemat waktu bisa langsung diantar ketempat domisili kita gaperlu buang2 waktu pulkam dulu buat ngurusin pajak doang gak perlu ribet skrg.",
I am Wage,22 Maret 2025,1,"ga bisa daftarin kendaraan, padahal Wifi bagus, kuota juga ada. Tapi pas masukkin kendaraan keterangannya error check connection terus",
Dandy Okta,2025-04-09 00:00:00,1,"aplikasi nya perlu di maintenance, masa mau sign up aja gak bisa...di bagian kode OTP gak masuk masuk udah sampe 3x, padalah nomol dan alamat emailnya jelas. memang kebanyakan aplikasi dari pemerintah selalu gak di maksimalkan",
Ton Wartono,21 Maret 2025,4,"aplikasi signal user friendly, response time cukup bagus harap dipertahankan dan tingkatkan lagi fitur²nya untuk kemudahan pengguna.",
Fajar Maulana,22 Maret 2025,5,"trimakasih signal akhirnya bisa juga bayar pajak di signal dan stnk bisa dikirim ke rumah tanpa ke samsat langsung,, trimakasih pokoknya lebih praktis dan tidak perlu mengluarkan dan lebih dan tidak menggangu pekerjaan",
Belvan Anugrah,25 Maret 2025,5,"sangat membantu, transparan, mudah lancar tanpa calo dan pungli. hanya bayar parkir kendaraan, kalau bisa di kantor pelayanan pemerintah parkir digratiskan. terimakasih",
Imam Setioedy,28 Maret 2025,5,"termasuk cepat untuk prosesnya, mudah mudahan ada fitur baru untuk pembayaran STNK kendaraan dari pemilik ke 2 sehingga ga perlu ke Samsat",
kiki dj,23 Maret 2025,4,ko ga bisa masuk sama sekali...uninstal..instal ulang juga tetep ga bisa..padahal tahun lalu bisa dipake lho aplikasinya... data kendaraan juga pada hilang di aplikasi padahal aplikasi abru diupdate 19 maret 2025 gitu lho,
Henki,2025-04-16 00:00:00,2,"Saat pendaftaran dan minta masuki OTP yg dikirim lewat SMS malah keluar belum berhasil, berkali2. Aplikasi parah.",
read one,19 Maret 2025,1,"emang ga jelas ni apk ga ada bantu nya saya mau ngisi kendaraan istri saya sendiri ga bisa dengan alesan kendaraan sudah di tambahkan sebelumnya pada hal saya ga pernah pake tuh apk aneh,percuma punya apk buang aja ga ada guna nya.",
Akbar Herlambang,18 Maret 2025,1,"sebenernya aplikasi ini sangat bagus, untuk proses pembayaran pajak secara online dan tidak ribet. tapi kenapa untuk STNK yg aktif tidak langsung dapat menggunakan pembayaran secara online",
Agung Pratama,2025-04-03 00:00:00,4,"mohon maaf min...saya mau bayar pajak tpi kenapa kode pembayaran selalu gagal dan kode pembayaran kadaluarsa,padahal baru beberapa menit,saya sudah mencoba lewat brimo,mandiri sama dana,kenapa gagal trus",
mr. Arredho,2025-04-11 00:00:00,5,"sangat membantu dalam pembayaran pajak kendaraan, banyak masyarakat yg mau membayar pajak tetapi tidak sempat tetapi dgn aplikasi ini semoga bisa meningkatkan ketaatan dlm membayar pajak",
